game_len
49
34
10
11
44
9
18
18
9
32
15
11
21
7
23
35
27
18
22
23
21
32
38
11
20
24
18
191
11
25
20
21
26
47
17
20
23
10
9
14
19
19
18
63
22
256
16
7
5
28
29
17
28
11
26
42
