iterasyon 42, epoch 43/100, Loss: 6.3777, Learning rate: 1e-05, MSE Loss: 0.0785, CE Loss: 6.2992, Accuracy: 0.00%
iterasyon 43, epoch 44/100, Loss: 6.3684, Learning rate: 1e-05, MSE Loss: 0.0773, CE Loss: 6.2910, Accuracy: 0.00%
iterasyon 44, epoch 45/100, Loss: 6.3591, Learning rate: 1e-05, MSE Loss: 0.0763, CE Loss: 6.2828, Accuracy: 0.00%
iterasyon 45, epoch 46/100, Loss: 6.3499, Learning rate: 1e-05, MSE Loss: 0.0752, CE Loss: 6.2746, Accuracy: 0.00%
iterasyon 46, epoch 47/100, Loss: 6.3407, Learning rate: 1e-05, MSE Loss: 0.0742, CE Loss: 6.2665, Accuracy: 0.00%
iterasyon 47, epoch 48/100, Loss: 6.3316, Learning rate: 1e-05, MSE Loss: 0.0733, CE Loss: 6.2583, Accuracy: 0.00%
iterasyon 48, epoch 49/100, Loss: 6.3226, Learning rate: 1e-05, MSE Loss: 0.0724, CE Loss: 6.2502, Accuracy: 1.28%
iterasyon 49, epoch 50/100, Loss: 6.3137, Learning rate: 1e-05, MSE Loss: 0.0715, CE Loss: 6.2422, Accuracy: 1.28%
iterasyon 50, epoch 51/100, Loss: 6.3047, Learning rate: 1e-05, MSE Loss: 0.0706, CE Loss: 6.2341, Accuracy: 1.28%
iterasyon 51, epoch 52/100, Loss: 6.2958, Learning rate: 1e-05, MSE Loss: 0.0698, CE Loss: 6.2260, Accuracy: 1.28%
iterasyon 52, epoch 53/100, Loss: 6.2869, Learning rate: 1e-05, MSE Loss: 0.0690, CE Loss: 6.2179, Accuracy: 1.28%
iterasyon 53, epoch 54/100, Loss: 6.2781, Learning rate: 1e-05, MSE Loss: 0.0682, CE Loss: 6.2098, Accuracy: 1.28%
iterasyon 54, epoch 55/100, Loss: 6.2693, Learning rate: 1e-05, MSE Loss: 0.0674, CE Loss: 6.2018, Accuracy: 1.28%
iterasyon 55, epoch 56/100, Loss: 6.2605, Learning rate: 1e-05, MSE Loss: 0.0667, CE Loss: 6.1938, Accuracy: 1.28%
iterasyon 56, epoch 57/100, Loss: 6.2516, Learning rate: 1e-05, MSE Loss: 0.0659, CE Loss: 6.1857, Accuracy: 1.28%
iterasyon 57, epoch 58/100, Loss: 6.2428, Learning rate: 1e-05, MSE Loss: 0.0652, CE Loss: 6.1776, Accuracy: 1.28%
iterasyon 58, epoch 59/100, Loss: 6.2341, Learning rate: 1e-05, MSE Loss: 0.0645, CE Loss: 6.1696, Accuracy: 2.56%
iterasyon 59, epoch 60/100, Loss: 6.2254, Learning rate: 1e-05, MSE Loss: 0.0638, CE Loss: 6.1616, Accuracy: 3.85%
iterasyon 60, epoch 61/100, Loss: 6.2167, Learning rate: 1e-05, MSE Loss: 0.0632, CE Loss: 6.1535, Accuracy: 5.13%
iterasyon 61, epoch 62/100, Loss: 6.2081, Learning rate: 1e-05, MSE Loss: 0.0625, CE Loss: 6.1455, Accuracy: 5.13%
iterasyon 62, epoch 63/100, Loss: 6.1994, Learning rate: 1e-05, MSE Loss: 0.0619, CE Loss: 6.1375, Accuracy: 5.13%
iterasyon 63, epoch 64/100, Loss: 6.1908, Learning rate: 1e-05, MSE Loss: 0.0613, CE Loss: 6.1296, Accuracy: 5.13%
iterasyon 64, epoch 65/100, Loss: 6.1823, Learning rate: 1e-05, MSE Loss: 0.0607, CE Loss: 6.1217, Accuracy: 5.13%
iterasyon 65, epoch 66/100, Loss: 6.1739, Learning rate: 1e-05, MSE Loss: 0.0600, CE Loss: 6.1139, Accuracy: 5.13%
iterasyon 66, epoch 67/100, Loss: 6.1655, Learning rate: 1e-05, MSE Loss: 0.0594, CE Loss: 6.1061, Accuracy: 5.13%
iterasyon 67, epoch 68/100, Loss: 6.1572, Learning rate: 1e-05, MSE Loss: 0.0588, CE Loss: 6.0984, Accuracy: 5.13%
iterasyon 68, epoch 69/100, Loss: 6.1490, Learning rate: 1e-05, MSE Loss: 0.0582, CE Loss: 6.0908, Accuracy: 5.13%
iterasyon 69, epoch 70/100, Loss: 6.1407, Learning rate: 1e-05, MSE Loss: 0.0576, CE Loss: 6.0831, Accuracy: 5.13%
